[0, 2511]	[0, 2354]
[101841, 102444]	[101747, 102515]
[101906, 104200]	[101904, 104445]
[102372, 103698]	[102372, 103791]
[102892, 107449]	[102892, 107624]
[103247, 108233]	[103247, 108490]
[104158, 105342]	[104131, 105436]
[105031, 109268]	[105007, 109406]
[106015, 109987]	[106002, 110156]
[106271, 107785]	[106256, 107865]
[107556, 110788]	[107552, 110912]
[108225, 109601]	[108215, 109659]
[108971, 110671]	[108947, 110745]
[109099, 111527]	[109089, 111593]
[109521, 110329]	[109463, 110389]
[109522, 112489]	[109522, 112683]
[109996, 111357]	[109925, 111517]
[110368, 112508]	[110324, 112681]
[110586, 115812]	[110453, 116121]
[111283, 114835]	[111283, 115125]
[112152, 116409]	[112137, 116439]
[112161, 118435]	[112161, 118949]
[112248, 113977]	[112234, 114070]
[113297, 114638]	[113290, 114739]
[113461, 116127]	[113438, 116220]
[113599, 114257]	[113595, 114298]
[114064, 119758]	[114045, 120038]
[115192, 120267]	[115166, 120386]
[115484, 116783]	[115437, 116831]
[117845, 119062]	[117821, 119138]
[117910, 118136]	[117907, 118171]
[117956, 119169]	[117954, 119265]
[118543, 122202]	[118526, 122364]
[119036, 120725]	[119022, 120834]
[119720, 123009]	[119702, 123146]
[120495, 122605]	[120412, 122708]
[120814, 122998]	[120473, 123185]
[121593, 127117]	[121586, 127351]
[121927, 124649]	[121927, 124683]
[123373, 126525]	[123363, 126631]
[123424, 125647]	[123400, 125723]
[123843, 127574]	[123766, 127773]
[123898, 125829]	[123898, 126274]
[123962, 125015]	[123948, 125057]
[124750, 130537]	[124689, 130888]
[125760, 126995]	[125751, 127027]
[126215, 130258]	[126185, 130477]
[126677, 128278]	[126665, 128376]
[127465, 129146]	[127465, 129239]
[127697, 131924]	[127694, 132065]
[127739, 132440]	[127709, 132680]
[127834, 129059]	[127823, 129136]
[128355, 130510]	[128332, 130650]
[128842, 131253]	[128836, 131296]
[129041, 130402]	[129027, 130503]
[130106, 131382]	[130080, 131509]
[130281, 131229]	[130279, 131308]
[130587, 131363]	[130558, 131399]
[131899, 133007]	[131899, 133081]
[132325, 133356]	[132287, 133392]
[132621, 134312]	[132615, 134413]
[132764, 134063]	[132725, 134177]
[133055, 137125]	[133028, 137401]
[133549, 136695]	[133549, 136826]
[134022, 138652]	[134022, 138847]
[134025, 136604]	[134025, 136698]
[134241, 136883]	[134223, 137036]
[134778, 136293]	[134757, 136401]
[134933, 135788]	[134882, 135887]
